iter	Passed	Remaining
0	147	147503
1	150	74992
2	152	50836
3	155	38780
4	157	31413
5	160	26580
6	162	23113
7	164	20428
8	167	18433
9	169	16765
10	171	15400
11	173	14278
12	175	13354
13	176	12459
14	179	11772
15	182	11193
16	183	10606
17	185	10110
18	187	9702
19	190	9346
20	192	8991
21	194	8645
22	196	8326
23	197	8038
24	198	7757
25	200	7500
26	201	7261
27	202	7030
28	203	6816
29	204	6616
30	205	6423
31	206	6245
32	207	6076
33	208	5918
34	209	5766
35	209	5621
36	210	5481
37	211	5350
38	212	5224
39	212	5103
40	213	4993
41	214	4884
42	214	4782
43	215	4682
44	216	4587
45	216	4495
46	217	4408
47	218	4326
48	218	4248
49	219	4176
50	220	4102
51	221	4030
52	221	3964
53	222	3898
54	223	3835
55	223	3773
56	224	3712
57	225	3657
58	225	3603
59	226	3551
60	227	3501
61	228	3453
62	228	3405
63	229	3358
64	230	3313
65	230	3268
66	231	3224
67	231	3177
68	232	3134
69	232	3093
70	233	3053
71	233	3014
72	234	2976
73	234	2939
74	235	2903
75	235	2868
76	236	2834
77	236	2800
78	237	2768
79	237	2736
80	238	2705
81	238	2674
82	239	2645
83	239	2616
84	240	2585
85	240	2558
86	241	2529
87	241	2503
88	242	2479
89	242	2456
90	243	2432
91	244	2409
92	244	2386
93	245	2363
94	245	2341
95	246	2319
96	246	2297
97	247	2275
98	247	2256
99	248	2235
100	248	2216
101	249	2194
102	249	2174
103	250	2156
104	250	2138
105	251	2119
106	251	2101
107	252	2084
108	252	2067
109	253	2051
110	254	2034
111	254	2018
112	255	2001
113	255	1985
114	255	1969
115	256	1954
116	257	1941
117	258	1929
118	258	1914
119	259	1899
120	259	1885
121	260	1871
122	260	1856
123	260	1843
124	261	1830
125	262	1817
126	262	1805
127	262	1791
128	263	1779
129	264	1767
130	264	1755
131	265	1743
132	265	1731
133	266	1719
134	266	1707
135	267	1696
136	267	1685
137	267	1673
138	268	1662
139	268	1652
140	269	1641
141	269	1630
142	270	1620
143	271	1611
144	271	1601
145	272	1592
146	272	1582
147	273	1572
148	273	1563
149	274	1554
150	274	1545
151	275	1536
152	275	1527
153	276	1518
154	276	1509
155	277	1500
156	277	1492
157	278	1483
158	278	1475
159	279	1467
160	280	1459
161	280	1451
162	281	1444
163	281	1436
164	282	1428
165	282	1421
166	283	1413
167	283	1405
168	284	1398
169	284	1391
170	285	1384
171	286	1376
172	286	1369
173	287	1362
174	287	1355
175	288	1348
176	288	1341
177	289	1334
178	289	1328
179	290	1321
180	290	1313
181	290	1307
182	291	1300
183	291	1294
184	292	1288
185	292	1281
186	293	1275
187	293	1269
188	294	1263
189	294	1257
