iter	Passed	Remaining
0	2	2299
1	4	2078
2	6	2039
3	7	1956
4	9	1901
5	10	1821
6	12	1724
7	13	1650
8	14	1619
9	16	1597
10	17	1576
11	18	1561
12	21	1616
13	22	1584
14	23	1548
15	25	1554
16	26	1548
17	28	1535
18	29	1541
19	30	1514
20	32	1510
21	34	1513
22	37	1605
23	39	1617
24	41	1624
25	43	1628
26	45	1631
27	47	1638
28	49	1644
29	130	4214
30	131	4125
31	133	4052
32	143	4212
33	147	4184
34	150	4154
35	152	4086
36	154	4017
37	156	3954
38	157	3885
39	159	3827
40	161	3773
41	163	3721
42	165	3682
43	166	3625
44	168	3572
45	170	3526
46	171	3480
47	172	3430
48	174	3385
49	176	3346
50	177	3309
51	179	3275
52	181	3250
53	183	3208
54	184	3170
55	185	3133
56	187	3097
57	188	3061
58	189	3027
59	191	3001
60	193	2981
61	273	4143
62	275	4103
63	277	4062
64	279	4014
65	280	3970
66	281	3918
67	282	3878
68	284	3837
69	286	3803
70	287	3768
71	290	3742
72	291	3698
73	292	3657
74	294	3628
75	295	3593
76	296	3557
77	297	3521
78	299	3489
79	300	3454
80	301	3425
81	303	3396
82	304	3362
83	305	3334
84	307	3308
85	310	3296
86	311	3271
87	313	3247
88	314	3221
89	316	3198
90	318	3177
91	319	3156
92	321	3134
93	322	3110
94	324	3088
95	325	3065
96	327	3049
97	329	3032
98	331	3015
99	333	2998
100	335	2982
101	337	2967
102	342	2982
103	343	2960
104	344	2936
105	345	2913
106	346	2889
107	347	2867
108	348	2845
109	349	2824
110	350	2804
111	351	2783
112	351	2761
113	352	2739
114	353	2718
115	354	2698
116	354	2678
117	356	2662
118	357	2644
119	358	2626
120	359	2608
121	359	2589
122	360	2570
123	361	2553
124	362	2536
125	362	2517
126	363	2499
127	364	2482
128	365	2466
129	366	2450
130	366	2434
131	367	2419
132	368	2404
133	369	2390
134	371	2377
135	372	2363
136	373	2350
137	373	2336
138	374	2321
139	375	2307
140	376	2292
141	376	2277
142	377	2263
143	378	2250
144	379	2235
145	379	2222
146	380	2209
147	381	2196
148	382	2185
149	383	2172
150	384	2160
151	385	2149
152	386	2139
153	387	2130
154	388	2119
155	389	2109
156	391	2100
157	392	2089
158	392	2078
159	393	2066
160	394	2054
161	394	2042
162	395	2032
163	396	2021
164	397	2010
165	398	2000
166	399	1990
167	399	1979
168	401	1973
169	402	1963
170	403	1953
171	403	1944
172	404	1934
173	405	1924
174	406	1915
175	407	1905
176	407	1895
177	408	1886
178	409	1877
179	410	1868
180	410	1858
181	411	1849
182	412	1840
183	413	1831
184	413	1823
185	414	1814
186	416	1809
187	417	1801
188	417	1793
189	418	1784
190	419	1777
191	420	1769
192	421	1761
193	422	1753
194	422	1745
195	423	1737
196	424	1730
197	425	1722
198	426	1714
199	426	1707
200	427	1699
201	428	1693
202	429	1686
203	430	1679
204	431	1674
205	432	1667
206	433	1661
207	434	1654
208	435	1647
209	436	1641
210	437	1634
211	438	1628
212	438	1621
213	439	1615
214	440	1609
215	441	1602
216	442	1596
217	443	1589
218	444	1583
219	444	1577
220	445	1570
221	447	1567
222	448	1561
223	448	1554
224	449	1548
225	450	1542
226	451	1536
227	451	1530
228	452	1524
229	453	1519
230	454	1513
231	455	1507
232	456	1502
233	457	1497
234	458	1492
235	459	1487
236	460	1482
237	461	1478
238	462	1473
239	463	1468
240	464	1463
241	465	1459
242	466	1453
243	467	1448
244	468	1443
245	469	1437
246	470	1432
247	470	1427
248	471	1422
249	472	1418
250	473	1412
251	474	1408
252	475	1403
253	475	1397
254	477	1394
255	478	1389
256	479	1385
257	480	1380
258	480	1375
259	481	1371
260	482	1366
261	483	1362
262	484	1357
263	485	1352
264	486	1348
265	486	1343
266	487	1338
267	488	1334
268	489	1329
269	489	1324
270	490	1320
271	491	1316
272	492	1312
273	493	1308
274	494	1304
275	495	1299
276	496	1295
277	497	1291
278	498	1287
279	498	1282
280	499	1278
281	500	1274
282	501	1270
283	502	1266
284	503	1262
285	504	1258
286	504	1254
287	505	1250
288	507	1248
289	508	1244
290	509	1241
291	510	1238
292	511	1235
293	512	1231
294	513	1227
295	514	1223
296	515	1219
297	516	1215
298	516	1212
299	517	1207
300	518	1204
301	519	1200
302	520	1196
303	520	1192
304	522	1189
305	523	1186
306	524	1183
307	525	1179
308	525	1175
309	526	1172
310	527	1168
311	528	1165
312	529	1161
313	530	1158
314	531	1154
315	531	1151
316	532	1147
317	533	1144
318	534	1140
319	535	1137
320	535	1133
321	536	1130
322	538	1128
323	539	1124
324	540	1121
325	540	1118
326	541	1115
327	542	1111
328	543	1108
329	544	1104
330	545	1101
331	546	1099
332	547	1096
333	548	1093
334	549	1090
335	550	1087
336	551	1085
337	553	1083
338	554	1081
339	555	1078
340	556	1076
341	557	1073
342	559	1070
343	560	1068
344	561	1066
345	562	1063
346	563	1060
347	564	1057
348	565	1053
349	566	1051
350	567	1048
351	568	1046
352	569	1043
353	570	1041
354	571	1038
355	572	1035
356	573	1032
357	574	1030
358	575	1027
359	576	1024
360	577	1021
361	578	1018
362	578	1015
363	579	1013
364	580	1010
365	581	1007
366	582	1004
367	583	1002
368	584	1000
369	586	997
370	587	995
371	588	992
372	589	990
373	590	987
374	591	985
375	591	982
376	592	979
377	593	977
378	594	974
379	595	971
380	596	969
381	597	966
382	598	964
383	599	962
384	600	959
385	601	956
386	602	954
387	603	951
388	604	948
389	604	946
390	605	943
391	606	940
392	607	938
393	608	935
394	609	932
395	610	930
396	611	928
397	612	926
398	613	924
399	614	922
400	615	919
401	616	917
402	617	915
403	618	912
404	619	910
405	620	907
406	621	905
407	622	903
408	623	900
409	624	898
410	625	896
411	627	894
412	628	892
413	630	891
414	631	889
415	632	887
416	632	884
417	633	882
418	634	880
419	635	877
420	636	875
421	637	872
422	638	870
423	639	869
424	640	866
425	641	864
426	642	862
427	643	859
428	645	858
429	646	856
430	647	854
431	648	852
432	649	850
433	650	848
434	651	846
435	652	844
436	653	841
437	654	839
438	655	837
439	656	835
440	657	832
441	658	830
442	659	829
443	660	827
444	661	825
445	662	823
446	663	821
447	664	819
448	665	816
449	666	815
450	667	812
451	668	810
452	669	808
453	670	806
454	671	804
455	672	802
456	673	800
457	674	798
458	675	796
459	676	794
460	677	792
461	678	790
462	679	787
463	680	785
464	681	783
465	682	781
466	683	779
467	683	777
468	684	775
469	685	773
470	686	771
471	687	769
472	688	767
473	689	765
474	690	763
475	691	761
476	692	759
477	693	757
478	694	755
479	695	753
480	696	751
481	696	749
482	697	747
483	698	745
484	699	742
485	700	740
486	701	738
487	702	736
488	703	735
489	704	733
490	705	731
491	706	729
492	707	727
493	708	725
494	709	723
495	710	721
496	711	719
497	712	717
498	712	715
499	713	713
500	714	711
501	715	709
502	716	707
503	717	705
504	718	704
505	719	702
506	720	700
507	721	698
508	722	696
509	723	694
510	723	692
511	724	690
512	725	688
513	726	686
514	727	685
515	728	683
516	729	681
517	730	679
518	731	677
519	731	675
520	732	673
521	734	672
522	735	670
523	736	668
524	737	667
525	738	665
526	739	663
527	740	661
528	741	660
529	742	658
530	743	656
531	744	654
532	745	652
533	746	651
534	747	649
535	748	647
536	749	646
537	750	644
538	751	642
539	752	641
540	753	639
541	754	637
542	755	635
543	756	634
544	757	632
545	758	630
546	759	628
547	760	626
548	761	625
549	762	623
550	762	621
551	763	619
552	764	618
553	766	616
554	767	615
555	767	613
556	768	611
557	769	609
558	770	607
559	771	606
560	772	604
561	773	602
562	773	600
563	774	598
564	775	597
565	776	595
566	777	593
567	778	592
568	779	590
569	780	588
570	781	587
571	782	585
572	783	583
573	784	582
574	785	580
575	786	578
576	787	577
577	788	575
578	789	573
579	790	572
580	790	570
581	791	568
582	792	567
583	793	565
584	794	563
585	795	562
586	796	560
587	797	559
588	798	557
589	799	555
590	800	553
591	801	552
592	802	550
593	803	549
594	804	547
595	805	545
596	806	544
597	806	542
598	807	540
599	808	539
600	809	537
601	810	535
602	811	534
603	812	532
604	813	531
605	814	529
606	815	528
607	816	526
608	817	524
609	818	523
610	819	521
611	820	520
612	821	518
613	822	516
614	823	515
615	823	513
616	824	512
617	825	510
618	826	508
619	828	507
620	829	505
621	830	504
622	831	502
623	832	501
624	833	499
625	834	498
626	835	497
627	836	495
628	837	494
629	839	492
630	840	491
631	841	489
632	842	488
633	843	486
634	844	485
635	845	483
636	846	482
637	847	480
638	847	479
639	848	477
640	849	475
641	850	474
642	851	472
643	852	471
644	853	469
645	854	468
646	854	466
647	855	464
648	857	463
649	859	462
650	860	461
651	862	460
652	863	458
653	864	457
654	865	455
655	866	454
656	867	452
657	868	451
658	869	449
659	870	448
660	870	446
661	873	445
662	874	444
663	875	443
664	876	441
665	877	440
666	878	438
667	879	437
668	880	435
669	881	434
670	882	432
671	883	431
672	884	429
673	884	428
674	886	426
675	886	425
676	888	423
677	889	422
678	890	420
679	891	419
680	891	417
681	892	416
682	893	414
683	894	413
684	895	411
685	896	410
686	897	408
687	898	407
688	898	405
689	900	404
690	900	402
691	901	401
692	903	400
693	904	398
694	905	397
695	906	395
696	906	394
697	907	392
698	908	391
699	909	389
700	910	388
701	911	386
702	912	385
703	913	383
704	914	382
705	915	381
706	916	379
707	916	378
708	918	376
709	919	375
710	920	374
711	921	372
712	922	371
713	923	369
714	924	368
715	925	367
716	926	365
717	927	364
718	928	363
719	929	361
720	930	360
721	931	358
722	932	357
723	934	356
724	935	354
725	936	353
726	937	351
727	938	350
728	938	349
729	940	347
730	941	346
731	942	344
732	943	343
733	944	342
734	945	340
735	946	339
736	946	337
737	947	336
738	949	335
739	950	334
740	951	332
741	952	331
742	953	329
743	954	328
744	955	327
745	956	325
746	957	324
747	959	323
748	960	321
749	961	320
750	962	319
751	964	317
752	965	316
753	966	315
754	967	314
755	968	312
756	969	311
757	970	310
758	972	308
759	973	307
760	974	305
761	975	304
762	976	303
763	977	301
764	979	300
765	980	299
766	981	298
767	982	296
768	983	295
769	985	294
770	986	292
771	987	291
772	988	290
773	989	288
774	990	287
775	991	286
776	992	284
777	993	283
778	995	282
779	996	280
780	997	279
781	998	278
782	999	276
783	1000	275
784	1001	274
785	1002	272
786	1003	271
787	1004	270
788	1005	268
789	1006	267
790	1007	266
791	1008	264
792	1010	263
793	1011	262
794	1012	261
795	1013	259
796	1014	258
797	1015	257
798	1016	255
799	1017	254
800	1019	253
801	1020	251
802	1021	250
803	1022	249
804	1023	248
805	1025	246
806	1026	245
807	1027	244
808	1028	242
809	1029	241
810	1030	240
811	1031	238
812	1032	237
813	1033	236
814	1034	234
815	1035	233
816	1036	232
817	1037	230
818	1038	229
819	1040	228
820	1041	227
821	1042	225
822	1044	224
823	1045	223
824	1046	221
825	1047	220
826	1048	219
827	1049	217
828	1050	216
829	1051	215
830	1052	214
831	1053	212
832	1055	211
833	1056	210
834	1057	208
835	1058	207
836	1059	206
837	1060	205
838	1061	203
839	1062	202
840	1063	201
841	1064	199
842	1065	198
843	1067	197
844	1068	195
845	1069	194
846	1071	193
847	1072	192
848	1073	190
849	1074	189
850	1075	188
851	1076	187
852	1077	185
853	1079	184
854	1080	183
855	1081	181
856	1082	180
857	1084	179
858	1085	178
859	1086	176
860	1087	175
861	1088	174
862	1089	173
863	1091	171
864	1092	170
865	1093	169
866	1094	167
867	1095	166
868	1096	165
869	1097	163
870	1098	162
871	1100	161
872	1101	160
873	1102	158
874	1103	157
875	1104	156
876	1105	155
877	1107	153
878	1108	152
879	1109	151
880	1110	149
881	1111	148
882	1112	147
